Gemeinde, Frauen  +/- pro 100,20-24  jährigeFrauen +/- pro 100,25-29  jährigeFrauen +/- pro 100,30-34  jährigeFrauen +/- pro 100,35-39  jährigeFrauen +/- pro 100,40-44  jährigeFrauen +/- pro 100,45-49  jährigeFrauen +/- pro 100,50-54  jährigeFrauen +/- pro 100,55-59  jährigeFrauen +/- pro 100,60-64  jährigeFrauen +/- pro 100,65-69  jährigeFrauen +/- pro 100,70-74  jährigeFrauen +/- pro 100,75-79  jährigeFrauen +/- pro 100,80-84  jährigeFrauen +/- pro 100,85-89  jährigeFrauen +/- pro 100,90-94  jährigeFrauen +/- pro 100, Männer  +/- pro 100,20-24  jährigeMänner +/- pro 100,25-29  jährigeMänner +/- pro 100,30-34  jährigeMänner +/- pro 100,35-39  jährigeMänner +/- pro 100,40-44  jährigeMänner +/- pro 100,45-49  jährigeMänner +/- pro 100,50-54  jährigeMänner +/- pro 100,55-59  jährigeMänner +/- pro 100,60-64  jährigeMänner +/- pro 100,65-69  jährigeMänner +/- pro 100,70-74  jährigeMänner +/- pro 100,75-79  jährigeMänner +/- pro 100,80-84  jährigeMänner +/- pro 100,85-89  jährigeMänner +/- pro 100,90-94  jährigeMänner +/- pro 100
Maienfeld,1.8,-0.3,-0.7,-1.1,0.1,-0.1,0.6,-0.3,0.0,0.7,0.2,0.5,0.6,0.3,0.6,0.7,-1.8,0.3,0.7,1.1,-0.1,0.1,-0.6,0.3,-0.0,-0.7,-0.2,-0.5,-0.6,-0.3,-0.6,-0.7
Malans,1.2,0.2,-0.5,0.0,-0.1,-0.3,0.3,-0.1,0.0,0.3,0.1,0.3,0.3,0.4,0.8,0.5,-1.2,-0.2,0.5,0.0,0.1,0.3,-0.3,0.1,0.0,-0.3,-0.1,-0.3,-0.3,-0.4,-0.8,-0.5
Landquart,0.1,-0.4,-0.9,-0.3,-0.3,-0.2,-0.0,0.3,0.1,0.2,0.0,0.3,0.7,0.5,0.4,0.2,-0.1,0.4,0.9,0.3,0.3,0.2,0.0,-0.3,-0.1,-0.2,-0.0,-0.3,-0.7,-0.5,-0.4,-0.2
Bever,1.1,-1.1,0.5,-1.0,0.2,1.0,-1.1,-0.3,0.3,-0.3,0.3,1.1,0.5,1.6,0.5,-0.2,-1.1,1.1,-0.5,1.0,-0.2,-1.0,1.1,0.3,-0.3,0.3,-0.3,-1.1,-0.5,-1.6,-0.5,0.2
Celerina/Schlarigna,1.2,-0.5,-1.0,-0.5,-0.7,0.5,0.1,0.4,0.4,0.1,0.4,0.3,0.6,0.7,0.6,0.2,-1.2,0.5,1.0,0.5,0.7,-0.5,-0.1,-0.4,-0.4,-0.1,-0.4,-0.3,-0.6,-0.7,-0.6,-0.2
Madulain,-0.4,1.7,0.9,0.0,-0.4,0.4,-0.9,-0.4,0.0,0.4,-0.4,0.9,0.0,0.9,0.4,0.0,0.4,-1.7,-0.9,0.0,0.4,-0.4,0.9,0.4,0.0,-0.4,0.4,-0.9,0.0,-0.9,-0.4,0.0
Pontresina,2.1,-0.1,-0.9,0.0,0.3,0.1,0.0,0.2,0.3,0.6,0.2,0.2,0.5,0.5,0.2,0.3,-2.1,0.1,0.9,0.0,-0.3,-0.1,0.0,-0.2,-0.3,-0.6,-0.2,-0.2,-0.5,-0.5,-0.2,-0.3
La Punt-Chamues-ch,-1.2,-0.3,-1.6,-0.3,-0.9,-0.8,0.4,0.1,0.1,0.1,0.1,1.3,0.7,0.1,0.4,0.1,1.2,0.3,1.6,0.3,0.9,0.8,-0.4,-0.1,-0.1,-0.1,-0.1,-1.3,-0.7,-0.1,-0.4,-0.1
Samedan,2.6,-0.1,-0.1,-0.7,-0.5,-0.8,0.2,0.7,0.6,0.4,0.2,0.4,0.6,0.7,0.4,0.2,-2.6,0.1,0.1,0.7,0.5,0.8,-0.2,-0.7,-0.6,-0.4,-0.2,-0.4,-0.6,-0.7,-0.4,-0.2
St. Moritz,2.7,-0.2,0.0,-0.1,0.0,0.1,-0.2,0.2,0.5,-0.0,0.6,0.5,0.5,0.7,0.5,0.2,-2.7,0.2,-0.0,0.1,0.0,-0.1,0.2,-0.2,-0.5,0.0,-0.6,-0.5,-0.5,-0.7,-0.5,-0.2
S-chanf,-3.0,-0.6,-0.3,-2.0,0.6,-1.1,0.0,-0.9,0.7,-0.3,0.4,-0.1,0.4,0.1,0.6,0.0,3.0,0.6,0.3,2.0,-0.6,1.1,0.0,0.9,-0.7,0.3,-0.4,0.1,-0.4,-0.1,-0.6,0.0
Sils im Engadin/Segl,2.6,0.5,-0.4,-0.7,-1.2,-0.1,0.1,0.7,0.3,1.2,0.8,0.1,0.5,0.7,0.8,0.5,-2.6,-0.5,0.4,0.7,1.2,0.1,-0.1,-0.7,-0.3,-1.2,-0.8,-0.1,-0.5,-0.7,-0.8,-0.5
Silvaplana,5.3,1.1,0.8,-0.9,-0.2,-0.6,-0.2,0.5,0.5,0.0,1.2,-0.1,0.6,0.6,0.6,0.5,-5.3,-1.1,-0.8,0.9,0.2,0.6,0.2,-0.5,-0.5,0.0,-1.2,0.1,-0.6,-0.6,-0.6,-0.5
Zuoz,-3.4,-0.6,-0.3,-0.6,-0.6,0.0,0.0,0.3,0.3,0.2,-0.3,0.6,0.4,0.8,0.4,0.3,3.4,0.6,0.3,0.6,0.6,0.0,0.0,-0.3,-0.3,-0.2,0.3,-0.6,-0.4,-0.8,-0.4,-0.3
Bregaglia,4.4,-0.8,-0.7,0.0,0.2,-0.2,0.3,-0.1,-0.4,0.2,0.6,0.4,1.6,0.9,1.4,0.6,-4.4,0.8,0.7,0.0,-0.2,0.2,-0.3,0.1,0.4,-0.2,-0.6,-0.4,-1.6,-0.9,-1.4,-0.6
Buseno,4.3,-1.1,1.1,-1.1,-1.1,2.2,0.0,-2.2,-2.2,-1.1,3.3,1.1,-1.1,6.5,0.0,-1.1,-4.3,1.1,-1.1,1.1,1.1,-2.2,0.0,2.2,2.2,1.1,-3.3,-1.1,1.1,-6.5,0.0,1.1
Castaneda,11.3,1.9,1.1,-0.4,1.1,-2.6,-0.8,-1.1,-1.5,-1.1,2.3,1.1,2.6,2.6,1.9,0.8,-11.3,-1.9,-1.1,0.4,-1.1,2.6,0.8,1.1,1.5,1.1,-2.3,-1.1,-2.6,-2.6,-1.9,-0.8
Rossa,-2.7,-2.7,0.0,-0.7,-2.0,-2.0,2.0,0.7,-4.8,-0.7,0.0,1.4,1.4,1.4,0.7,1.4,2.7,2.7,0.0,0.7,2.0,2.0,-2.0,-0.7,4.8,0.7,0.0,-1.4,-1.4,-1.4,-0.7,-1.4
Santa Maria in Calanca,2.0,1.0,2.0,-2.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-2.0,0.0,0.0,2.9,0.0,-2.0,-1.0,-2.0,2.0,0.0,1.0,-1.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,-2.9,0.0
Lostallo,-1.2,-0.1,-0.3,-0.5,-0.1,-0.9,-0.1,-0.4,0.4,-0.5,0.9,0.3,0.8,1.8,0.0,0.4,1.2,0.1,0.3,0.5,0.1,0.9,0.1,0.4,-0.4,0.5,-0.9,-0.3,-0.8,-1.8,0.0,-0.4
Mesocco,0.9,-0.4,0.6,-0.8,-0.2,-1.0,-0.6,-0.9,-0.4,-0.4,-0.2,0.4,0.4,1.3,0.5,0.8,-0.9,0.4,-0.6,0.8,0.2,1.0,0.6,0.9,0.4,0.4,0.2,-0.4,-0.4,-1.3,-0.5,-0.8
Soazza,-6.3,-0.6,-1.7,-0.6,-1.2,-1.2,-1.7,-1.2,-0.6,-0.6,-1.7,0.0,1.2,2.3,2.0,0.9,6.3,0.6,1.7,0.6,1.2,1.2,1.7,1.2,0.6,0.6,1.7,0.0,-1.2,-2.3,-2.0,-0.9
Cama,1.2,1.2,-0.4,-0.4,-0.2,0.2,-0.4,0.0,0.2,0.7,-0.4,0.5,0.4,0.4,0.9,0.0,-1.2,-1.2,0.4,0.4,0.2,-0.2,0.4,0.0,-0.2,-0.7,0.4,-0.5,-0.4,-0.4,-0.9,0.0
Grono,-0.9,0.6,-0.9,-0.6,-0.6,-0.7,-0.7,-0.4,-0.2,1.0,0.2,0.3,0.4,0.4,0.7,0.8,0.9,-0.6,0.9,0.6,0.6,0.7,0.7,0.4,0.2,-1.0,-0.2,-0.3,-0.4,-0.4,-0.7,-0.8
Leggia,5.8,-2.2,2.9,-0.7,-0.7,1.4,-1.4,0.0,0.0,0.7,1.4,0.7,-1.4,0.7,2.2,0.7,-5.8,2.2,-2.9,0.7,0.7,-1.4,1.4,0.0,0.0,-0.7,-1.4,-0.7,1.4,-0.7,-2.2,-0.7
Roveredo (GR),1.8,-0.8,-0.2,-0.9,-0.5,0.1,0.5,-0.4,0.2,0.1,0.1,1.1,0.4,1.1,0.4,0.3,-1.8,0.8,0.2,0.9,0.5,-0.1,-0.5,0.4,-0.2,-0.1,-0.1,-1.1,-0.4,-1.1,-0.4,-0.3
San Vittore,2.0,0.5,-0.5,-0.7,-1.3,-0.5,0.1,0.0,0.0,0.3,0.4,-0.3,1.4,1.0,0.8,0.4,-2.0,-0.5,0.5,0.7,1.3,0.5,-0.1,0.0,0.0,-0.3,-0.4,0.3,-1.4,-1.0,-0.8,-0.4
Verdabbio,1.8,-1.2,-1.8,0.0,0.0,-1.2,-1.2,-1.8,-0.6,-0.6,0.6,1.8,0.0,1.2,0.0,0.6,-1.8,1.2,1.8,0.0,0.0,1.2,1.2,1.8,0.6,0.6,-0.6,-1.8,0.0,-1.2,0.0,-0.6
Calanca,1.6,1.1,2.1,1.6,0.0,-3.7,0.5,-2.1,-1.1,-0.5,-1.6,2.7,1.1,0.5,2.1,0.0,-1.6,-1.1,-2.1,-1.6,0.0,3.7,-0.5,2.1,1.1,0.5,1.6,-2.7,-1.1,-0.5,-2.1,0.0
Chur,3.3,-0.1,-0.2,-0.7,-0.3,-0.3,0.0,0.2,0.3,0.4,0.7,0.7,0.9,0.8,0.8,0.4,-3.3,0.1,0.2,0.7,0.3,0.3,-0.0,-0.2,-0.3,-0.4,-0.7,-0.7,-0.9,-0.8,-0.8,-0.4
Churwalden,-3.0,-0.8,-0.3,-1.3,0.4,-1.1,-0.5,-0.1,-0.3,0.0,0.0,-0.0,0.5,0.3,0.5,0.1,3.0,0.8,0.3,1.3,-0.4,1.1,0.5,0.1,0.3,-0.0,-0.0,0.0,-0.5,-0.3,-0.5,-0.1
Arosa,-2.5,0.5,-0.6,-1.2,-0.8,-0.9,-0.2,-0.7,-0.6,-0.7,0.2,0.2,0.5,0.8,0.7,0.2,2.5,-0.5,0.6,1.2,0.8,0.9,0.2,0.7,0.6,0.7,-0.2,-0.2,-0.5,-0.8,-0.7,-0.2
Maladers,-0.8,0.2,-0.6,-1.4,0.2,-0.4,-0.8,0.8,0.2,0.6,-0.2,-0.4,0.8,0.8,0.6,0.2,0.8,-0.2,0.6,1.4,-0.2,0.4,0.8,-0.8,-0.2,-0.6,0.2,0.4,-0.8,-0.8,-0.6,-0.2
Tschiertschen-Praden,-2.9,-0.3,0.3,-1.6,-0.3,0.6,-1.9,0.0,-0.6,1.0,-0.3,-0.6,0.6,1.6,1.3,0.0,2.9,0.3,-0.3,1.6,0.3,-0.6,1.9,0.0,0.6,-1.0,0.3,0.6,-0.6,-1.6,-1.3,0.0
Davos,1.2,-0.3,-0.1,-0.8,-0.5,0.0,-0.2,-0.2,0.2,0.5,0.4,0.5,0.7,0.9,0.8,0.4,-1.2,0.3,0.1,0.8,0.5,0.0,0.2,0.2,-0.2,-0.5,-0.4,-0.5,-0.7,-0.9,-0.8,-0.4
Fideris,0.0,-1.5,-0.5,0.0,-1.0,-0.5,-0.3,0.5,0.2,-0.2,0.7,0.7,0.5,0.8,0.3,0.3,0.0,1.5,0.5,0.0,1.0,0.5,0.3,-0.5,-0.2,0.2,-0.7,-0.7,-0.5,-0.8,-0.3,-0.3
Furna,7.7,2.9,0.0,-0.5,-0.5,0.5,0.0,0.0,-1.4,-0.5,0.0,0.0,1.9,1.4,-0.5,1.0,-7.7,-2.9,0.0,0.5,0.5,-0.5,0.0,0.0,1.4,0.5,0.0,0.0,-1.9,-1.4,0.5,-1.0
Jenaz,-0.1,0.4,0.1,-0.7,0.1,-0.3,0.0,-1.1,-0.5,-0.1,-0.3,0.2,0.7,1.0,0.3,0.5,0.1,-0.4,-0.1,0.7,-0.1,0.3,0.0,1.1,0.5,0.1,0.3,-0.2,-0.7,-1.0,-0.3,-0.5
Klosters-Serneus,2.0,-0.2,-0.6,-0.3,-0.2,0.3,-0.5,-0.1,0.0,0.3,0.5,0.5,1.2,0.9,0.7,0.2,-2.0,0.2,0.6,0.3,0.2,-0.3,0.5,0.1,0.0,-0.3,-0.5,-0.5,-1.2,-0.9,-0.7,-0.2
Conters im Prättigau,0.9,1.4,0.9,-2.8,0.0,0.9,-1.4,-2.3,-0.9,-0.5,0.5,-0.5,1.9,0.5,0.9,0.9,-0.9,-1.4,-0.9,2.8,0.0,-0.9,1.4,2.3,0.9,0.5,-0.5,0.5,-1.9,-0.5,-0.9,-0.9
Küblis,3.7,0.1,-0.5,-0.5,-0.2,-0.1,0.2,-0.3,0.2,1.3,-0.1,0.9,0.6,1.0,0.6,0.1,-3.7,-0.1,0.5,0.5,0.2,0.1,-0.2,0.3,-0.2,-1.3,0.1,-0.9,-0.6,-1.0,-0.6,-0.1
Saas,-1.4,-1.0,-0.5,-1.0,-1.2,0.5,-0.7,-0.8,-0.4,0.7,1.1,1.2,0.4,1.2,0.7,0.0,1.4,1.0,0.5,1.0,1.2,-0.5,0.7,0.8,0.4,-0.7,-1.1,-1.2,-0.4,-1.2,-0.7,0.0
Luzein,-2.1,0.7,0.0,-0.8,-0.1,-0.3,-0.5,-0.6,-0.2,-0.2,0.6,0.2,0.3,0.7,0.4,0.2,2.1,-0.7,0.0,0.8,0.1,0.3,0.5,0.6,0.2,0.2,-0.6,-0.2,-0.3,-0.7,-0.4,-0.2
St. Antönien,-2.4,0.0,0.0,0.3,0.3,0.3,-1.2,0.3,-1.2,0.3,-0.6,-0.3,-0.3,0.3,0.6,0.0,2.4,0.0,0.0,-0.3,-0.3,-0.3,1.2,-0.3,1.2,-0.3,0.6,0.3,0.3,-0.3,-0.6,0.0
Grüsch,0.2,0.6,-0.8,0.0,-0.4,0.3,0.3,-0.4,-0.2,0.1,0.0,0.4,0.5,0.7,0.5,-0.1,-0.2,-0.6,0.8,0.0,0.4,-0.3,-0.3,0.4,0.2,-0.1,0.0,-0.4,-0.5,-0.7,-0.5,0.1
Schiers,-0.9,-0.1,-1.4,-1.1,-0.6,0.0,-0.0,0.2,0.2,-0.1,0.2,0.6,0.6,0.8,0.7,0.5,0.9,0.1,1.4,1.1,0.6,-0.0,0.0,-0.2,-0.2,0.1,-0.2,-0.6,-0.6,-0.8,-0.7,-0.5
Seewis im Prättigau,1.2,-0.4,-1.0,-0.1,-0.6,-0.1,0.1,0.1,-0.6,0.3,0.2,0.1,-0.1,0.6,0.9,0.3,-1.2,0.4,1.0,0.1,0.6,0.1,-0.1,-0.1,0.6,-0.3,-0.2,-0.1,0.1,-0.6,-0.9,-0.3
Falera,-3.9,0.3,-0.3,-1.0,0.7,-0.8,0.3,-0.7,0.8,-0.7,-0.2,0.0,-0.8,0.0,0.5,-0.2,3.9,-0.3,0.3,1.0,-0.7,0.8,-0.3,0.7,-0.8,0.7,0.2,0.0,0.8,0.0,-0.5,0.2
Laax,-6.7,-0.7,-0.9,-1.7,-0.5,-0.7,-0.7,-0.4,-0.4,-0.1,-0.4,0.4,0.0,0.4,-0.2,0.2,6.7,0.7,0.9,1.7,0.5,0.7,0.7,0.4,0.4,0.1,0.4,-0.4,0.0,-0.4,0.2,-0.2
Sagogn,-3.8,-2.3,-1.5,-1.6,0.0,-1.2,-0.7,0.7,-0.3,0.3,-0.9,-1.3,1.3,0.4,0.7,0.4,3.8,2.3,1.5,1.6,0.0,1.2,0.7,-0.7,0.3,-0.3,0.9,1.3,-1.3,-0.4,-0.7,-0.4
Schluein,-6.0,-2.1,-1.8,-0.5,0.0,-0.2,0.3,-0.5,-1.6,-1.0,0.8,0.0,1.0,0.0,0.8,0.8,6.0,2.1,1.8,0.5,0.0,0.2,-0.3,0.5,1.6,1.0,-0.8,0.0,-1.0,0.0,-0.8,-0.8
Vals,0.8,1.1,-0.5,-0.9,-0.5,-0.6,0.0,-0.1,-0.9,0.3,-0.2,0.2,1.2,1.0,1.3,-0.3,-0.8,-1.1,0.5,0.9,0.5,0.6,0.0,0.1,0.9,-0.3,0.2,-0.2,-1.2,-1.0,-1.3,0.3
Andiast,1.5,1.0,-3.9,-1.0,0.0,0.0,-1.0,0.5,0.5,0.5,1.0,2.0,0.5,1.0,0.5,0.5,-1.5,-1.0,3.9,1.0,0.0,0.0,1.0,-0.5,-0.5,-0.5,-1.0,-2.0,-0.5,-1.0,-0.5,-0.5
Obersaxen,0.5,0.0,-1.0,-0.1,-0.2,-0.7,-0.1,-0.4,-0.4,-0.2,0.4,1.1,1.0,0.8,0.8,0.6,-0.5,0.0,1.0,0.1,0.2,0.7,0.1,0.4,0.4,0.2,-0.4,-1.1,-1.0,-0.8,-0.8,-0.6
Waltensburg/Vuorz,-1.8,0.3,-3.8,-0.6,0.3,-0.6,0.9,-0.9,-0.3,-1.2,0.3,0.9,0.6,1.5,0.6,0.3,1.8,-0.3,3.8,0.6,-0.3,0.6,-0.9,0.9,0.3,1.2,-0.3,-0.9,-0.6,-1.5,-0.6,-0.3
Mundaun,-4.1,-1.9,-2.2,0.0,-0.9,0.0,1.9,-0.6,0.3,-0.6,0.0,-0.3,0.0,1.9,0.6,0.9,4.1,1.9,2.2,0.0,0.9,0.0,-1.9,0.6,-0.3,0.6,0.0,0.3,0.0,-1.9,-0.6,-0.9
Lumnezia,-2.4,-0.7,-1.2,-0.6,-0.7,-0.4,-0.4,-0.6,0.1,0.0,-0.0,-0.5,0.3,1.4,1.1,0.3,2.4,0.7,1.2,0.6,0.7,0.4,0.4,0.6,-0.1,-0.0,0.0,0.5,-0.3,-1.4,-1.1,-0.3
Ilanz/Glion,3.9,-1.0,-0.5,-0.5,-0.1,-0.2,-0.1,0.5,0.2,0.1,0.9,0.7,1.1,1.6,1.3,0.6,-3.9,1.0,0.5,0.5,0.1,0.2,0.1,-0.5,-0.2,-0.1,-0.9,-0.7,-1.1,-1.6,-1.3,-0.6
Safiental,-3.6,-0.9,-1.8,-0.7,-0.2,-0.4,-0.3,-0.6,0.3,0.2,-0.7,-0.4,0.8,0.6,1.3,0.4,3.6,0.9,1.8,0.7,0.2,0.4,0.3,0.6,-0.3,-0.2,0.7,0.4,-0.8,-0.6,-1.3,-0.4
Breil/Brigels,-0.7,-1.0,-0.3,-0.6,0.0,-0.3,-0.5,-0.1,-0.2,-0.4,0.3,0.2,0.7,0.6,0.6,0.7,0.7,1.0,0.3,0.6,0.0,0.3,0.5,0.1,0.2,0.4,-0.3,-0.2,-0.7,-0.6,-0.6,-0.7
Disentis/Mustér,-1.9,-0.6,-1.4,-0.8,-0.7,-0.0,-0.8,-0.3,-0.6,0.1,0.2,0.4,0.7,0.7,1.2,0.2,1.9,0.6,1.4,0.8,0.7,0.0,0.8,0.3,0.6,-0.1,-0.2,-0.4,-0.7,-0.7,-1.2,-0.2
Medel (Lucmagn),2.3,0.0,0.3,-1.5,0.3,0.5,-1.0,-0.8,0.3,-0.5,-0.3,0.5,-1.0,1.3,2.3,0.8,-2.3,0.0,-0.3,1.5,-0.3,-0.5,1.0,0.8,-0.3,0.5,0.3,-0.5,1.0,-1.3,-2.3,-0.8
Sumvitg,1.9,-0.3,-1.6,-0.4,-0.3,0.2,-0.3,-0.4,0.0,0.1,0.2,0.7,0.7,2.2,1.1,0.6,-1.9,0.3,1.6,0.4,0.3,-0.2,0.3,0.4,0.0,-0.1,-0.2,-0.7,-0.7,-2.2,-1.1,-0.6
Tujetsch,-0.7,0.3,-0.8,-0.6,0.0,-0.2,-0.9,0.2,0.1,-0.3,-0.2,0.2,0.5,1.0,1.3,0.2,0.7,-0.3,0.8,0.6,0.0,0.2,0.9,-0.2,-0.1,0.3,0.2,-0.2,-0.5,-1.0,-1.3,-0.2
Trun,4.6,0.2,-0.2,-0.6,0.0,0.2,-0.3,-0.5,-0.2,-0.7,-0.2,0.0,1.7,1.6,1.2,0.5,-4.6,-0.2,0.2,0.6,0.0,-0.2,0.3,0.5,0.2,0.7,0.2,0.0,-1.7,-1.6,-1.2,-0.5
Aarau,2.7,-0.1,-0.1,-0.8,-0.5,-0.3,-0.2,0.1,0.3,0.4,0.6,0.6,0.7,0.8,1.0,0.5,-2.7,0.1,0.1,0.8,0.5,0.3,0.2,-0.1,-0.3,-0.4,-0.6,-0.6,-0.7,-0.8,-1.0,-0.5
Biberstein,1.6,-0.6,0.4,-1.0,-0.1,-0.1,-0.1,0.0,0.1,0.2,0.5,0.2,0.5,0.6,0.1,0.1,-1.6,0.6,-0.4,1.0,0.1,0.1,0.1,0.0,-0.1,-0.2,-0.5,-0.2,-0.5,-0.6,-0.1,-0.1
Buchs (AG),3.0,-0.1,-0.1,-0.6,-0.1,-0.0,0.1,0.2,0.1,0.5,0.2,0.6,0.3,0.6,0.7,0.3,-3.0,0.1,0.1,0.6,0.1,0.0,-0.1,-0.2,-0.1,-0.5,-0.2,-0.6,-0.3,-0.6,-0.7,-0.3
Densbüren,0.4,-0.3,-2.0,-0.3,0.1,0.4,-0.1,0.0,0.1,-0.1,-0.7,0.7,0.3,0.7,0.6,0.4,-0.4,0.3,2.0,0.3,-0.1,-0.4,0.1,0.0,-0.1,0.1,0.7,-0.7,-0.3,-0.7,-0.6,-0.4
Erlinsbach (AG),2.3,-0.4,-0.2,-0.1,-0.4,0.5,0.3,0.2,0.4,-0.0,0.3,0.3,0.4,0.8,0.6,0.5,-2.3,0.4,0.2,0.1,0.4,-0.5,-0.3,-0.2,-0.4,0.0,-0.3,-0.3,-0.4,-0.8,-0.6,-0.5
Gränichen,1.6,-0.3,-0.5,-0.2,-0.1,-0.1,0.1,0.0,0.3,0.2,0.1,0.3,0.6,0.6,0.7,0.3,-1.6,0.3,0.5,0.2,0.1,0.1,-0.1,0.0,-0.3,-0.2,-0.1,-0.3,-0.6,-0.6,-0.7,-0.3
Hirschthal,1.5,0.1,0.0,-0.1,-0.3,0.1,0.6,-0.3,0.1,-0.2,0.3,0.4,0.6,0.4,0.4,0.3,-1.5,-0.1,0.0,0.1,0.3,-0.1,-0.6,0.3,-0.1,0.2,-0.3,-0.4,-0.6,-0.4,-0.4,-0.3
Küttigen,3.0,-0.5,-0.1,0.1,-0.2,-0.2,0.1,0.1,0.1,0.3,0.4,0.8,0.4,0.7,0.7,0.3,-3.0,0.5,0.1,-0.1,0.2,0.2,-0.1,-0.1,-0.1,-0.3,-0.4,-0.8,-0.4,-0.7,-0.7,-0.3
Muhen,0.4,0.0,0.0,-0.6,0.2,-0.1,-0.5,-0.2,-0.2,0.1,0.3,0.3,0.4,0.8,0.5,0.2,-0.4,0.0,0.0,0.6,-0.2,0.1,0.5,0.2,0.2,-0.1,-0.3,-0.3,-0.4,-0.8,-0.5,-0.2
Oberentfelden,1.1,-0.4,-0.4,-0.4,-0.0,-0.1,0.3,0.3,0.2,0.2,0.1,0.6,0.4,0.7,0.5,0.3,-1.1,0.4,0.4,0.4,0.0,0.1,-0.3,-0.3,-0.2,-0.2,-0.1,-0.6,-0.4,-0.7,-0.5,-0.3
Suhr,2.9,-0.1,0.4,-0.4,-0.2,0.1,0.2,0.2,0.2,0.4,0.4,0.5,0.7,0.7,0.5,0.2,-2.9,0.1,-0.4,0.4,0.2,-0.1,-0.2,-0.2,-0.2,-0.4,-0.4,-0.5,-0.7,-0.7,-0.5,-0.2
Unterentfelden,1.3,-0.4,-0.7,-0.5,-0.3,0.1,-0.0,0.4,0.8,0.1,0.6,0.2,0.5,0.8,0.6,0.2,-1.3,0.4,0.7,0.5,0.3,-0.1,0.0,-0.4,-0.8,-0.1,-0.6,-0.2,-0.5,-0.8,-0.6,-0.2
Baden,-0.1,0.2,-0.4,-0.8,-0.7,-0.4,-0.0,-0.2,0.2,0.4,0.3,0.5,0.4,0.5,0.4,0.3,0.1,-0.2,0.4,0.8,0.7,0.4,0.0,0.2,-0.2,-0.4,-0.3,-0.5,-0.4,-0.5,-0.4,-0.3
Bellikon,1.1,0.0,-0.6,1.0,0.1,-0.5,-0.1,-0.5,0.1,0.4,0.1,0.0,0.5,0.4,0.4,0.1,-1.1,0.0,0.6,-1.0,-0.1,0.5,0.1,0.5,-0.1,-0.4,-0.1,0.0,-0.5,-0.4,-0.4,-0.1
Bergdietikon,2.1,0.1,-0.1,-0.5,-0.1,-0.1,-0.3,0.7,-0.3,0.7,0.7,0.6,0.5,-0.2,0.4,0.4,-2.1,-0.1,0.1,0.5,0.1,0.1,0.3,-0.7,0.3,-0.7,-0.7,-0.6,-0.5,0.2,-0.4,-0.4
Birmenstorf (AG),-0.2,-0.1,-0.2,-0.4,-0.9,0.2,-0.6,0.0,0.0,0.4,0.3,0.4,0.4,0.5,0.5,0.1,0.2,0.1,0.2,0.4,0.9,-0.2,0.6,-0.0,0.0,-0.4,-0.3,-0.4,-0.4,-0.5,-0.5,-0.1
Ennetbaden,2.2,0.5,-0.3,-0.4,-0.5,0.2,0.0,-0.4,-0.2,0.3,0.3,0.5,0.4,0.3,0.7,0.4,-2.2,-0.5,0.3,0.4,0.5,-0.2,0.0,0.4,0.2,-0.3,-0.3,-0.5,-0.4,-0.3,-0.7,-0.4
Fislisbach,1.9,0.4,-0.3,-0.6,-0.1,-0.4,0.1,0.3,0.4,0.3,0.1,0.5,0.6,0.8,0.5,0.2,-1.9,-0.4,0.3,0.6,0.1,0.4,-0.1,-0.3,-0.4,-0.3,-0.1,-0.5,-0.6,-0.8,-0.5,-0.2
Freienwil,3.4,-0.4,0.1,0.0,-0.4,0.0,0.4,0.2,-0.1,-0.1,0.4,0.6,0.6,0.7,0.3,0.1,-3.4,0.4,-0.1,0.0,0.4,0.0,-0.4,-0.2,0.1,0.1,-0.4,-0.6,-0.6,-0.7,-0.3,-0.1
Gebenstorf,-0.6,0.1,-0.8,-0.7,-0.3,-0.4,-0.2,-0.1,-0.0,0.5,0.2,0.3,0.6,0.6,0.4,0.1,0.6,-0.1,0.8,0.7,0.3,0.4,0.2,0.1,0.0,-0.5,-0.2,-0.3,-0.6,-0.6,-0.4,-0.1
Killwangen,-2.0,-0.4,-0.3,-0.7,-0.6,-0.3,0.1,0.1,0.4,0.1,0.6,0.4,0.5,-0.1,0.3,0.0,2.0,0.4,0.3,0.7,0.6,0.3,-0.1,-0.1,-0.4,-0.1,-0.6,-0.4,-0.5,0.1,-0.3,0.0
Künten,-0.8,0.0,0.0,-1.1,-0.6,-0.2,-0.2,-0.5,0.5,0.2,-0.2,0.3,0.4,0.5,0.5,0.1,0.8,0.0,0.0,1.1,0.6,0.2,0.2,0.5,-0.5,-0.2,0.2,-0.3,-0.4,-0.5,-0.5,-0.1
Mägenwil,-3.1,-0.6,-0.4,-0.5,-0.3,-0.5,-0.2,0.0,-0.0,0.0,0.0,0.5,0.4,0.2,0.1,0.1,3.1,0.6,0.4,0.5,0.3,0.5,0.2,0.0,0.0,-0.0,0.0,-0.5,-0.4,-0.2,-0.1,-0.1
Mellingen,-0.6,-0.4,-0.5,-0.8,-0.4,-0.6,-0.2,0.1,0.1,0.5,0.1,0.6,0.3,0.4,0.3,0.2,0.6,0.4,0.5,0.8,0.4,0.6,0.2,-0.1,-0.1,-0.5,-0.1,-0.6,-0.3,-0.4,-0.3,-0.2
