Gemeinde,Ledige Männer Total +/-,Ledige Frauen Total +/-,Ledige20-24 JahreFrauen Total+/-,Ledige20-24 JahreMänner Total+/-,Ledige25-29 JahreFrauen Total+/-,Ledige25-29 JahreMänner Total+/-,Ledige30-34 JahreFrauen Total+/-,Ledige30-34 JahreMänner Total+/-,Ledige35-39 JahreFrauen Total+/-,Ledige35-39 JahreMänner Total+/-,Ledige40-44 JahreFrauen Total+/-,Ledige40-44 JahreMänner Total+/-,Ledige45-49 JahreFrauen Total+/-,Ledige45-49 JahreMänner Total+/-,Ledige50-54 JahreFrauen Total+/-,Ledige50-54 JahreMänner Total+/-,Ledige55-59 JahreFrauen Total+/-,Ledige55-59 JahreMänner Total+/-,Ledige60-64 JahreFrauen Total+/-,Ledige60-64 JahreMänner Total+/-,Ledige65-69 JahreFrauen Total+/-,Ledige65-69 JahreMänner Total+/-,Ledige70-74 JahreFrauen Total+/-,Ledige70-74 JahreMänner Total+/-,Ledige75-79 JahreFrauen Total+/-,Ledige75-79 JahreMänner Total+/-,Ledige80-84 JahreFrauen Total+/-,Ledige80-84 JahreMänner Total+/-,Ledige85-89 JahreFrauen Total+/-,Ledige85-89 JahreMänner Total+/-,Ledige90-94 JahreFrauen Total+/-,Ledige90-94 JahreMänner Total+/-
Seegräben,16,-16,-11,11,-6,6,12,-12,-9,9,0,0,-8,8,-3,3,-4,4,8,-8,2,-2,1,-1,5,-5,2,-2,6,-6,-2,2
Wald (ZH),-116,116,-28,28,-36,36,-58,58,-33,33,-22,22,15,-15,3,-3,-15,15,31,-31,22,-22,39,-39,65,-65,85,-85,68,-68,39,-39
Wetzikon (ZH),-280,280,-86,86,-137,137,-86,86,-96,96,-25,25,21,-21,-14,14,50,-50,92,-92,70,-70,90,-90,140,-140,169,-169,117,-117,78,-78
Adliswil,-257,257,-36,36,-86,86,-52,52,-87,87,-40,40,3,-3,-29,29,9,-9,53,-53,91,-91,101,-101,158,-158,122,-122,112,-112,46,-46
Hirzel,-11,11,-24,24,0,0,-2,2,0,0,-4,4,1,-1,-9,9,-5,5,-5,5,3,-3,10,-10,17,-17,18,-18,10,-10,6,-6
Horgen,-469,469,-16,16,-87,87,-68,68,-64,64,-32,32,-16,16,49,-49,26,-26,79,-79,105,-105,115,-115,142,-142,139,-139,117,-117,80,-80
Hütten,9,-9,-1,1,-10,10,-1,1,-2,2,1,-1,-7,7,-7,7,3,-3,0,0,8,-8,-1,1,1,-1,10,-10,6,-6,2,-2
Kilchberg (ZH),-321,321,16,-16,-44,44,-26,26,-6,6,-9,9,2,-2,27,-27,11,-11,51,-51,38,-38,66,-66,78,-78,80,-80,60,-60,40,-40
Langnau am Albis,-156,156,-12,12,-25,25,-31,31,-17,17,-14,14,4,-4,11,-11,7,-7,23,-23,43,-43,72,-72,54,-54,59,-59,26,-26,14,-14
Oberrieden,-166,166,10,-10,-16,16,-6,6,-8,8,-10,10,27,-27,9,-9,-9,9,16,-16,28,-28,33,-33,41,-41,44,-44,33,-33,21,-21
Richterswil,-256,256,-76,76,-69,69,-62,62,-13,13,-9,9,26,-26,38,-38,22,-22,48,-48,77,-77,63,-63,82,-82,67,-67,68,-68,22,-22
Rüschlikon,-200,200,-24,24,1,-1,-3,3,-19,19,13,-13,-5,5,26,-26,24,-24,17,-17,23,-23,29,-29,57,-57,27,-27,53,-53,19,-19
Schönenberg (ZH),-1,1,-17,17,3,-3,-6,6,5,-5,-2,2,-10,10,9,-9,-6,6,-5,5,10,-10,12,-12,5,-5,22,-22,10,-10,5,-5
Thalwil,-526,526,-33,33,-27,27,-87,87,3,-3,-5,5,25,-25,-19,19,37,-37,96,-96,81,-81,97,-97,135,-135,107,-107,114,-114,71,-71
Wädenswil,-526,526,-85,85,-59,59,-60,60,-87,87,-28,28,41,-41,71,-71,61,-61,102,-102,107,-107,139,-139,125,-125,133,-133,132,-132,62,-62
Erlenbach (ZH),-186,186,-23,23,-18,18,-6,6,-3,3,7,-7,7,-7,-9,9,10,-10,22,-22,41,-41,41,-41,29,-29,37,-37,43,-43,13,-13
Herrliberg,-244,244,-2,2,-16,16,-7,7,15,-15,9,-9,9,-9,28,-28,38,-38,15,-15,11,-11,31,-31,49,-49,38,-38,51,-51,37,-37
Hombrechtikon,-177,177,-18,18,-44,44,-25,25,-25,25,-3,3,-5,5,34,-34,12,-12,26,-26,50,-50,36,-36,53,-53,50,-50,58,-58,33,-33
Küsnacht (ZH),-680,680,-11,11,-27,27,-26,26,-24,24,-3,3,18,-18,22,-22,57,-57,29,-29,125,-125,132,-132,141,-141,133,-133,146,-146,82,-82
Männedorf,-440,440,-19,19,-12,12,-41,41,-7,7,10,-10,40,-40,4,-4,20,-20,42,-42,61,-61,86,-86,90,-90,77,-77,74,-74,37,-37
Meilen,-710,710,-26,26,-20,20,-12,12,-25,25,14,-14,29,-29,45,-45,16,-16,50,-50,67,-67,96,-96,110,-110,108,-108,114,-114,48,-48
Oetwil am See,-32,32,-30,30,-15,15,-50,50,-1,1,-6,6,-14,14,33,-33,-3,3,16,-16,4,-4,17,-17,17,-17,24,-24,15,-15,2,-2
Stäfa,-453,453,-37,37,-12,12,-81,81,-53,53,26,-26,31,-31,51,-51,33,-33,69,-69,103,-103,90,-90,97,-97,128,-128,76,-76,41,-41
Uetikon am See,-169,169,-24,24,5,-5,1,-1,-7,7,34,-34,19,-19,-4,4,11,-11,25,-25,38,-38,45,-45,35,-35,29,-29,30,-30,20,-20
Zumikon,-304,304,7,-7,-16,16,-28,28,-12,12,7,-7,30,-30,41,-41,19,-19,42,-42,31,-31,39,-39,55,-55,47,-47,35,-35,23,-23
Zollikon,-626,626,-5,5,-29,29,-21,21,-21,21,-6,6,28,-28,17,-17,45,-45,60,-60,77,-77,118,-118,136,-136,162,-162,115,-115,92,-92
Fehraltorf,-112,112,-1,1,-9,9,-24,24,-11,11,-21,21,8,-8,4,-4,7,-7,19,-19,38,-38,12,-12,16,-16,20,-20,20,-20,15,-15
Hittnau,-7,7,-22,22,-4,4,-9,9,-16,16,-6,6,0,0,8,-8,-17,17,7,-7,1,-1,6,-6,8,-8,16,-16,11,-11,5,-5
Illnau-Effretikon,-293,293,-34,34,-49,49,-102,102,-79,79,-35,35,1,-1,8,-8,22,-22,53,-53,79,-79,114,-114,107,-107,74,-74,78,-78,47,-47
Kyburg,4,-4,-3,3,-3,3,-3,3,-4,4,6,-6,-1,1,-2,2,-5,5,3,-3,-2,2,1,-1,1,-1,5,-5,1,-1,3,-3
Lindau,65,-65,-31,31,-38,38,-14,14,0,0,-33,33,-1,1,-3,3,1,-1,4,-4,16,-16,11,-11,16,-16,16,-16,26,-26,9,-9
Pfäffikon,-214,214,-13,13,-54,54,-64,64,-27,27,14,-14,3,-3,33,-33,42,-42,63,-63,45,-45,56,-56,82,-82,61,-61,72,-72,40,-40
Russikon,15,-15,-17,17,-15,15,-7,7,-9,9,-5,5,6,-6,-20,20,0,0,14,-14,9,-9,11,-11,17,-17,17,-17,30,-30,8,-8
Weisslingen,11,-11,-29,29,-38,38,-14,14,-1,1,3,-3,0,0,12,-12,3,-3,8,-8,7,-7,10,-10,12,-12,24,-24,17,-17,8,-8
Wila,12,-12,5,-5,-32,32,0,0,-2,2,1,-1,-6,6,2,-2,-4,4,5,-5,5,-5,1,-1,13,-13,18,-18,11,-11,6,-6
Wildberg,-9,9,-5,5,-1,1,0,0,-4,4,0,0,6,-6,-4,4,4,-4,-4,4,8,-8,0,0,3,-3,5,-5,7,-7,0,0
Bauma,-5,5,-35,35,-19,19,0,0,-27,27,-9,9,-13,13,5,-5,4,-4,0,0,14,-14,19,-19,26,-26,19,-19,24,-24,14,-14
